Account: 12345, Type: DEPOSIT, Amount: 1000.0
Account: 67890, Type: DEPOSIT, Amount: 500.0
Account: 12345, Type: WITHDRAWAL, Amount: 300.0
Account: 67890, Type: DEPOSIT, Amount: 300.0
Account: 12345, Type: DEPOSIT, Amount: 1000.0
Account: 67890, Type: DEPOSIT, Amount: 500.0
Account: 12345, Type: WITHDRAWAL, Amount: 300.0
Account: 67890, Type: DEPOSIT, Amount: 300.0
Account: 12345, Type: WITHDRAWAL, Amount: 100.0
Account: 12345, Type: WITHDRAWAL, Amount: 100.0
Account: 12345, Type: DEPOSIT, Amount: 100.0
Account: 12345, Type: DEPOSIT, Amount: 100.0
Account: 12345, Type: DEPOSIT, Amount: 100.0
Account: 12345, Type: DEPOSIT, Amount: 100.0
Account: 12345, Type: DEPOSIT, Amount: 100.0
Account: 12345, Type: DEPOSIT, Amount: 100.0
Account: 12345, Type: DEPOSIT, Amount: 100.0
Account: 12345, Type: DEPOSIT, Amount: 100.0
Account: 12345, Type: DEPOSIT, Amount: 100.0
Account: 12345, Type: DEPOSIT, Amount: 100.0
Account: 12345, Type: DEPOSIT, Amount: 100.0
Account: 12345, Type: DEPOSIT, Amount: 100.0
Account: 12345, Type: DEPOSIT, Amount: 100.0
Account: 12345, Type: DEPOSIT, Amount: 1000.0
Account: 67890, Type: DEPOSIT, Amount: 500.0
Account: 12345, Type: WITHDRAWAL, Amount: 300.0
Account: 67890, Type: DEPOSIT, Amount: 300.0
Account: 12345, Type: DEPOSIT, Amount: 1000.0
Account: 67890, Type: DEPOSIT, Amount: 500.0
Account: 12345, Type: WITHDRAWAL, Amount: 300.0
Account: 67890, Type: DEPOSIT, Amount: 300.0
Account: 12345, Type: DEPOSIT, Amount: 12.0
Account: 696969, Type: DEPOSIT, Amount: 1.0
Account: 696969, Type: WITHDRAWAL, Amount: 1.0
Account: 696969, Type: DEPOSIT, Amount: 1.0
Account: 696969, Type: WITHDRAWAL, Amount: 1.0
Account: 696969, Type: DEPOSIT, Amount: 1.0
Account: 696969, Type: WITHDRAWAL, Amount: 1.0
Account: 696969, Type: DEPOSIT, Amount: 1.0
Account: 696969, Type: WITHDRAWAL, Amount: 1.0
Account: 696969, Type: DEPOSIT, Amount: 1.0
Account: 696969, Type: WITHDRAWAL, Amount: 1.0
Account: 696969, Type: WITHDRAWAL, Amount: 1.0
Account: 696969, Type: WITHDRAWAL, Amount: 1.0
Account: 696969, Type: WITHDRAWAL, Amount: 1.0
Account: 696969, Type: WITHDRAWAL, Amount: 1.0
Account: 696969, Type: WITHDRAWAL, Amount: 1.0
Account: 696969, Type: WITHDRAWAL, Amount: 1.0
Account: 696969, Type: WITHDRAWAL, Amount: 1.0
Account: 696969, Type: WITHDRAWAL, Amount: 1.0
Account: 696969, Type: WITHDRAWAL, Amount: 1.0
Account: 696969, Type: WITHDRAWAL, Amount: 1.0
Account: 696969, Type: WITHDRAWAL, Amount: 1.0
Account: 696969, Type: WITHDRAWAL, Amount: 1.0
Account: 696969, Type: WITHDRAWAL, Amount: 1.0
Account: 696969, Type: WITHDRAWAL, Amount: 1.0
Account: 696969, Type: WITHDRAWAL, Amount: 1.0
Account: 123456, Type: DEPOSIT, Amount: 1.0
Account: 123456, Type: DEPOSIT, Amount: 1000.0
Account: 696969, Type: DEPOSIT, Amount: 3000.0
Account: 696969, Type: DEPOSIT, Amount: 3000.0
Account: 696969, Type: DEPOSIT, Amount: 3000.0
Account: 696969, Type: DEPOSIT, Amount: 3000.0
Account: 696969, Type: DEPOSIT, Amount: 3000.0
Account: 696969, Type: DEPOSIT, Amount: 3000.0
Account: 696969, Type: DEPOSIT, Amount: 3000.0
Account: 696969, Type: DEPOSIT, Amount: 3000.0
Account: 123456, Type: WITHDRAWAL, Amount: 1234.0
Account: 123456, Type: DEPOSIT, Amount: 1000.0
Account: 696969, Type: TRANSFER, Amount: 3000.0
Account: 123456, Type: TRANSFER_RECEIVED, Amount: 3000.0
Account: 123456, Type: DEPOSIT, Amount: 1234.0
Account: 696969, Type: TRANSFER, Amount: 1000.0
Account: 343434, Type: TRANSFER_RECEIVED, Amount: 1000.0
Account: 696969, Type: DEPOSIT, Amount: 123.0
Account: 696969, Type: WITHDRAWAL, Amount: 567.0
Account: 123456, Type: WITHDRAWAL, Amount: 123.0
Account: 123456, Type: DEPOSIT, Amount: 1000.0
Account: 123456, Type: WITHDRAWAL, Amount: 1000.0
Account: 123456, Type: DEPOSIT, Amount: 1234.0
Account: 696969, Type: TRANSFER, Amount: 1000.0
Account: 123456, Type: TRANSFER_RECEIVED, Amount: 1000.0
Account: 696969, Type: WITHDRAWAL, Amount: 241.0
Account: 696969, Type: DEPOSIT, Amount: 15000.0
Account: 123456, Type: TRANSFER, Amount: 224.0
Account: 343434, Type: TRANSFER_RECEIVED, Amount: 224.0
Account: 343434, Type: DEPOSIT, Amount: 1500.0
Account: 123456, Type: WITHDRAWAL, Amount: 1000.0
Account: 123456, Type: DEPOSIT, Amount: 100.0
Account: 343434, Type: DEPOSIT, Amount: 123.0
Account: 696969, Type: DEPOSIT, Amount: 15000.0
Account: 696969, Type: TRANSFER, Amount: 2000.0
Account: 343434, Type: TRANSFER_RECEIVED, Amount: 2000.0
Account: 343434, Type: DEPOSIT, Amount: 1000.0
